pathway,SYM
mtDNA,CASP1
mtDNA,CMPK2
mtDNA,GSDMD
mtDNA,IL18
mtDNA,IL1B
mtDNA,IL1R1
mtDNA,MYD88
mtDNA,NLRP3
mtDNA,PYCARD
mtDNA,TFAM
mtDNA,TLR9
mtdsRNA,DDX58
mtdsRNA,EIF2AK2
mtdsRNA,IFIH1
mtdsRNA,MAVS
mtdsRNA,TICAM1
mtdsRNA,TLR3
mtdsRNA,ZNFX1
mtDNA/dsRNA,CGAS
mtDNA/dsRNA,IRF3
mtDNA/dsRNA,IRF7
mtDNA/dsRNA,NFKB1
mtDNA/dsRNA,NFKB2
mtDNA/dsRNA,NFKBIA
mtDNA/dsRNA,RELA
mtDNA/dsRNA,RELB
mtDNA/dsRNA,STING1
mtDNA/dsRNA,TBK1
mtDNA/dsRNA,ZBP1
